,CO,H2,CH4,C2H4,C2H6,C3H8,Xf_LFL,Xf_UFL,Xf_stoich,Su_stoich,LFL,UFL
0,0.1908,0.1366,0.1445,0.0,0.278,0.2501,,,,0.4771408163169754,0.04831010000000001,0.3289801
1,0.0652,0.0,0.3632,0.0,0.0,0.5716,,,,0.4767012188351195,0.035808400000000004,0.1661964
2,0.0749,0.0871,0.0011,0.2141,0.2686,0.3542,,,,0.5364542533985215,0.03390435,0.2519936
3,0.4864,0.0,0.0,0.0,0.5136,0.0,,,,0.4480494737234801,0.07377600000000001,0.42848639999999993
4,0.1085,0.0,0.2747,0.0,0.0,0.6168,,,,0.4838479057387773,0.0380596,0.18872259999999996
5,0.0,0.2359,0.4169,0.0,0.314,0.0332,,,,0.45135221306590784,0.03789680000000001,0.2875858
6,0.0143,0.2,0.0,0.201,0.2686,0.3161,,,,0.5490284480667967,0.029939600000000004,0.28344349999999996
7,0.1781,0.1865,0.1983,0.1845,0.1608,0.0918,,,,0.5768034228964054,0.04938275,0.3879492
8,0.0325,0.0,0.4422,0.5254,0.0,0.0,,,,0.67240733511113,0.0378053,0.2471602
9,0.0641,0.0868,0.0,0.2479,0.3291,0.2721,,,,0.5405880199231956,0.033568350000000004,0.25236490000000006
10,0.0,0.4208,0.1176,0.0,0.3649,0.0967,,,,0.5063830601972646,0.0349841,0.38990070000000004
11,0.1025,0.0222,0.3931,0.0,0.4149,0.0672,,,,0.4246583074130781,0.0443426,0.21622819999999998
12,0.0,0.0,0.1505,0.1244,0.5208,0.2043,,,,0.4686411144978269,0.0299573,0.1454739
13,0.4856,0.1896,0.0,0.2742,0.0,0.0506,,,,0.805244868379244,0.0744591,0.5899318
14,0.0,0.0,0.35,0.0,0.2995,0.3506,,,,0.44482843074796724,0.0317476,0.1299486
15,0.0,0.0315,0.5688,0.0,0.3997,0.0,,,,0.40725397546833725,0.0382782,0.16647099999999998
16,0.5629,0.2253,0.0,0.0,0.0,0.2118,,,,0.6109326106210231,0.0810078,0.6125417999999999
17,0.0555,0.3717,0.0243,0.276,0.0481,0.2243,,,,0.6821499861274998,0.0363405,0.4319399
18,0.574,0.0,0.3806,0.0,0.0,0.0454,,,,0.4965914578713907,0.0865798,0.49750379999999994
19,0.0,0.0517,0.2717,0.1376,0.2564,0.2825,,,,0.49385456785147924,0.0314313,0.18301350000000002
20,0.4898,0.0288,0.0,0.122,0.0,0.3594,,,,0.5713190953744582,0.0708304,0.4601413999999999
21,0.2404,0.027,0.0769,0.3359,0.3198,0.0,,,,0.584276697878516,0.052142850000000004,0.3488842
22,0.0,0.0,0.5313,0.0,0.4687,0.0,,,,0.40497854585853643,0.0374382,0.145252
23,0.1939,0.2233,0.1031,0.0217,0.2343,0.2237,,,,0.5078148864565641,0.049059849999999995,0.38766150000000005
24,0.4062,0.1183,0.2218,0.1875,0.0,0.0662,,,,0.6494100189703751,0.06978165,0.4900613999999999
25,0.0,0.0,0.5741,0.4259,0.0,0.0,,,,0.6159126891717942,0.03697265000000001,0.2159598
26,0.3431,0.1704,0.0008,0.4633,0.0,0.0225,,,,0.8565781569380522,0.06123645,0.5200325
27,0.0,0.0,0.3587,0.0,0.5225,0.1189,,,,0.42209922415165185,0.033954700000000004,0.1356257
28,0.1369,0.2204,0.0508,0.1716,0.2027,0.2176,,,,0.5671860121296453,0.0428488,0.37249620000000006
29,0.0,0.179,0.1838,0.1924,0.1934,0.2513,,,,0.5444737089659005,0.0316175,0.2687825
30,0.0,0.6733,0.0,0.3267,0.0,0.0,,,,1.132789946465214,0.035916250000000004,0.5984112
31,0.6928,0.0,0.0,0.0,0.0,0.3072,,,,0.5346574243111306,0.08958719999999999,0.5506272
32,0.6995,0.2025,0.098,0.0,0.0,0.0,,,,0.7257905026805602,0.09635200000000001,0.6925720000000001
33,0.0435,0.0,0.2731,0.2265,0.296,0.1609,,,,0.5099912949278829,0.03572405,0.1951473
34,0.0,0.372,0.0,0.2759,0.0,0.3521,,,,0.6617152403538855,0.02986135,0.39346949999999997
35,0.0,0.1042,0.5629,0.0,0.0,0.3329,,,,0.46931772342647754,0.0359265,0.2040885
36,0.0,0.4128,0.0,0.1287,0.4149,0.0436,,,,0.56093141257922,0.033413849999999995,0.4022594
37,0.185,0.1966,0.2386,0.1152,0.0,0.2647,,,,0.5715879936234415,0.049289099999999995,0.3850123
38,0.2591,0.0,0.0759,0.3082,0.2849,0.072,,,,0.5693816513556383,0.0529661,0.3375174000000001
39,0.0,0.0,0.0,0.0,0.6896,0.3104,,,,0.4419452348348233,0.0272064,0.1168608
40,0.0,0.1185,0.0,0.2467,0.3005,0.3343,,,,0.5422842612243107,0.027559550000000002,0.23045749999999998
41,0.0,0.611,0.0,0.0,0.389,0.0,,,,0.5710921557771168,0.036109999999999996,0.506486
42,0.3051,0.0527,0.2358,0.0564,0.2422,0.1077,,,,0.4837823363463161,0.06017390000000001,0.36406209999999994
43,0.2476,0.0,0.1702,0.2106,0.0231,0.3485,,,,0.5592031780482152,0.051003799999999995,0.3119073
44,0.0309,0.0,0.3435,0.1225,0.1563,0.3468,,,,0.49023357655875344,0.03416255000000001,0.168952
45,0.0407,0.0909,0.0,0.3965,0.2364,0.2355,,,,0.5965983025296346,0.03146125,0.26519810000000005
46,0.1735,0.1076,0.2345,0.1834,0.0132,0.2878,,,,0.5691394031090476,0.0469253,0.33244
47,0.9735,0.0,0.0,0.0265,0.0,0.0,,,,0.4058673089790985,0.11754875000000001,0.7377040000000001
48,0.0,0.2984,0.0,0.0,0.0,0.7016,,,,0.5309397200784103,0.0266696,0.29466159999999997
49,0.2304,0.2358,0.24,0.2365,0.0,0.0573,,,,0.6945637927369757,0.055347049999999995,0.4624363
50,0.0394,0.0,0.0,0.0,0.9606,0.0,,,,0.4233490117008566,0.033546,0.1486644
51,0.0576,0.2822,0.2236,0.1094,0.0802,0.247,,,,0.5607235282103359,0.038639900000000005,0.35770060000000004
52,0.5552,0.0,0.4448,0.0,0.0,0.0,,,,0.48690605609689247,0.0861952,0.4893472
53,0.4675,0.0733,0.0,0.4592,0.0,0.0,,,,0.8462981998512045,0.07166,0.5369312
54,0.0,0.388,0.0,0.0,0.3661,0.2459,,,,0.5068151021520286,0.0316669,0.3612323
55,0.0,0.0,0.0,0.0,0.485,0.515,,,,0.4562042730635165,0.025365000000000002,0.112155
56,0.6043,0.0,0.0,0.3957,0.0,0.0,,,,0.8052737810951712,0.08339774999999999,0.5663952
57,0.0502,0.0,0.0,0.3397,0.3645,0.2456,,,,0.5464046622888682,0.031458349999999996,0.20480779999999998
58,0.0,0.7822,0.0,0.0,0.0,0.2178,,,,0.7740022537786019,0.0358618,0.6086478
59,0.0,0.0,0.8743,0.0,0.0,0.1257,,,,0.4131167678566003,0.041108900000000004,0.1560809
60,0.1166,0.0,0.698,0.0,0.1854,0.0,,,,0.402239532870436,0.050266000000000005,0.22491160000000002
